Samples	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19	CN20	CN21	CN22	CN23	CN24	CN25
TCGA-HT-7472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	181	0	0	0	0	0
TCGA-HT-7473	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0
TCGA-HT-7474	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0
TCGA-HT-7475	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	59	0	0
TCGA-HT-7476	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	35
TCGA-HT-7477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	156	0	0	0	0
TCGA-HT-7478	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	38	0	0
TCGA-HT-7479	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0
TCGA-HT-7482	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0
TCGA-HT-7483	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	34	0	0
TCGA-HT-7485	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0
TCGA-HT-7601	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
TCGA-HT-7603	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	43	0	0
TCGA-HT-7604	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	36
TCGA-HT-7606	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0
TCGA-HT-7609	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0
TCGA-HT-7610	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0
